Pays;CodePays;Periode;TempsCode;EsperanceVie;PIBHabitant;DepensesSante;AccesElec;EcolePrimaire;EnseignSup;ID
Islande;ISL;2009;YR2009;81,75121951;48297,39035;8,86763096;100;99,88291931;74,4150238;6
Islande;ISL;2010;YR2010;81,89756098;46996,81518;8,53229141;100;99,30812073;78,8184433;6
Islande;ISL;2011;YR2011;82,35853659;47718,28547;8,25131226;100;98,81152344;81,4707489;6
Islande;ISL;2012;YR2012;82,91707317;47969,90611;8,19516754;100;98,21530151;81,95588684;6
Islande;ISL;2013;YR2013;82,06097561;49681,55668;8,22141075;100;98,1158371;80,29685211;6
Islande;ISL;2014;YR2014;82,86097561;49960,87106;8,27935791;100;98,18360901;81,43798065;6
Islande;ISL;2015;YR2015;82,46829268;51636,63128;8,13130188;100;98,62542725;75,76605988;6
Islande;ISL;2016;YR2016;82,20487805;54134,96601;8,16513538;100;99,53414154;73,60044098;6
Islande;ISL;2017;YR2017;82,66097561;55098,24908;8,3432579;100;100,3514404;71,84500885;6
Islande;ISL;2018;YR2018;82,86097561;56266,49808;8,46930885;100;100,4399109;73,1032486;6
Islande;ISL;2019;YR2019;82,56097561;56382,93331;8,7;100;100,9693527;77,58883667;6
Etats-Unis;USA;2001;YR2001;76,83658537;50066,12207;13,2191925;100;100,65465;80,446565;7
Etats-Unis;USA;2002;YR2002;76,93658537;50467,70437;14,00746441;100;101,4265;80,75656;7
Etats-Unis;USA;2003;YR2003;77,03658537;51467,43216;14,52157784;100;99,454;80,69556;7
Etats-Unis;USA;2004;YR2004;77,48780488;52930,48689;14,60988235;100;101,126;80,86564;7
Etats-Unis;USA;2005;YR2005;77,48780488;54287,3612;14,60567665;100;101,8740234;80,63482666;7
Etats-Unis;USA;2006;YR2006;77,68780488;55301,42496;14,70215797;100;101,345;82,74655;7
Etats-Unis;USA;2007;YR2007;77,98780488;55805,69962;14,91858959;100;100,8956;83,56653;7
Etats-Unis;USA;2008;YR2008;78,03902439;55204,83961;15,28626251;100;99,9826;84,566665;7
Etats-Unis;USA;2009;YR2009;78,3902439;53334,81118;16,28372383;100;100,45555;85,456545;7
Etats-Unis;USA;2010;YR2010;78,54146341;54250,25002;16,34537888;100;101,2356;86,45646;7
Etats-Unis;USA;2011;YR2011;78,64146341;54692,63537;16,29982948;100;100,965;87,89555;7
Etats-Unis;USA;2012;YR2012;78,74146341;55514,22152;16,28528976;100;99,8955;88,5656;7
Etats-Unis;USA;2013;YR2013;78,74146341;56146,4711;16,21042252;100;99,45543671;88,72641754;7
Etats-Unis;USA;2014;YR2014;78,84146341;57144,10277;16,40644836;100;99,67337799;88,6268692;7
Etats-Unis;USA;2015;YR2015;78,6902439;58469,52678;16,71075249;100;100,2999115;88,88941193;7
Etats-Unis;USA;2016;YR2016;78,53902439;59040,78147;17,04898262;100;101,3628616;88,83505249;7
Etats-Unis;USA;2017;YR2017;78,53902439;60036,98921;17,00361443;100;101,8214417;88,16738892;7
Etats-Unis;USA;2018;YR2018;78,63902439;61511,30507;16,88529778;100;101,2565613;88,29917908;7
Etats-Unis;USA;2019;YR2019;78,78780488;62555,15887;17,4566;100;100,9813004;87,88871002;7
Royaume-Uni;GBR;2001;YR2001;77,99268293;39174,89002;7,6549964;100;100,2299194;59,26847076;8
Royaume-Uni;GBR;2002;YR2002;78,14390244;39859,31381;8,02424622;100;99,82263184;62,56843185;8
Royaume-Uni;GBR;2003;YR2003;78,44634146;40992,07204;8,21229839;100;99,99331665;62,06856155;8
Royaume-Uni;GBR;2004;YR2004;78,74634146;41691,3885;8,48447704;100;105,935173;59,35145187;8
Royaume-Uni;GBR;2005;YR2005;79,04878049;42629,94822;8,53398705;100;106,3861694;58,96609879;8
Royaume-Uni;GBR;2006;YR2006;79,24878049;43457,70177;8,69737816;100;105,0685806;59,03244019;8
Royaume-Uni;GBR;2007;YR2007;79,44878049;44138,5205;8,87322426;100;103,2406006;58,49451065;8
Royaume-Uni;GBR;2008;YR2008;79,6;43670,41458;9,16623402;100;105,0618896;56,64390945;8
Royaume-Uni;GBR;2009;YR2009;80,05121951;41558,30083;10,01600361;100;104,2597885;57,90053177;8
Royaume-Uni;GBR;2010;YR2010;80,40243902;42089,01364;9,98915195;100;104,5549088;58,92335129;8
Royaume-Uni;GBR;2011;YR2011;80,95121951;42294,12046;9,97346497;100;104,4257126;59,14593124;8
Royaume-Uni;GBR;2012;YR2012;80,90487805;42601,82841;10,0517683;100;106,2460785;59,40211868;8
Royaume-Uni;GBR;2013;YR2013;81,00487805;43242,56767;9,97855186;100;107,1119995;57,03876114;8
Royaume-Uni;GBR;2014;YR2014;81,30487805;44154,10561;9,95758438;100;102,2555466;56,5644989;8
Royaume-Uni;GBR;2015;YR2015;80,95609756;44840,78264;9,90435219;100;101,9252701;56,45848846;8
Royaume-Uni;GBR;2016;YR2016;81,15609756;45268,73045;9,86671162;100;101,3352127;58,42562103;8
Royaume-Uni;GBR;2017;YR2017;81,25609756;45744,71049;9,82511234;100;101,1545563;59,99557114;8
Royaume-Uni;GBR;2018;YR2018;81,25609756;46037,90054;9,99696255;100;100,9955521;61,38288879;8
Royaume-Uni;GBR;2019;YR2019;81,20487805;46406,46175;10,265154;100;100,4914627;65,77336121;8
